score,word
0.0368319011719317,automated posting
0.02700454691094797,walking distance
0.02211879401690544,washing machine
0.01896077067874349,surry hills
0.018811671291785105,nous avons
0.01873220043018736,public transport
0.01656228477946293,circular quay
0.013651329618305829,bien situ¨¦
0.013501650755939341,sehr nett
0.01316778876993723,darling harbour
0.012478826552211638,kings cross
0.012308844633279643,unserer ankunft
0.011937377288273703,before arrival
0.011556018689273504,box trundle
0.010972597052726768,notre h?te
0.010958224574820576,catherines sohn
0.010958224574820576,lena saved
0.010671397406245235,rose bay
0.009910602268181095,praia caminhando
0.009284916390013073,nous n'avons
0.00881898715073384,das zimmer
0.008802323136944493,url hidden
0.008494819340647443,opal card
0.008332345513637297,blue mountains
0.007905475097538634,tr¨¨s propre
0.00777944390651946,dee why
0.007704012459515669,previous tenant
0.007300216904298536,sensitive contents
0.007151244439804342,laundry detergent
0.007151040461128892,zu fuss
